aldo_pH7p5_Elution1_0022_circles#_8_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.174246	-2.83399e-007	 2.34485e-007
     0.174817	 3.01006e-008	 2.34628e-007
     0.175388	 3.20601e-007	 2.34884e-007
     0.175958	-2.43999e-007	 2.33364e-007
     0.176529	-2.65805e-007	 2.33072e-007
     0.177100	-2.93796e-007	 2.32814e-007
     0.177671	-1.24695e-007	 2.32704e-007
     0.178242	 1.57801e-007	 2.32754e-007
     0.178813	 1.78603e-007	 2.32537e-007
     0.179384	-3.41104e-007	 2.31333e-007
     0.179955	-2.77701e-007	 2.31361e-007
     0.180526	-2.43199e-007	 2.31070e-007
     0.181097	-2.83100e-007	 2.30488e-007
     0.181668	-1.13199e-007	 2.30419e-007
     0.182239	-2.07496e-007	 2.30229e-007
     0.182809	-2.33798e-007	 2.29670e-007
     0.183380	-2.75097e-007	 2.29124e-007
     0.183951	-5.46097e-007	 2.28536e-007
     0.184522	-5.35496e-007	 2.28123e-007
     0.185093	-3.41999e-007	 2.28137e-007
     0.185664	-4.02397e-007	 2.27812e-007
     0.186235	-4.30395e-007	 2.27560e-007
     0.186806	-3.54303e-007	 2.27326e-007
     0.187376	-4.04601e-007	 2.26877e-007
     0.187947	-5.70297e-007	 2.26283e-007
     0.188518	-5.27703e-007	 2.26134e-007
     0.189089	-4.01495e-007	 2.25978e-007
     0.189660	-3.65500e-007	 2.25753e-007
     0.190231	-2.09599e-007	 2.25749e-007
     0.190802	-4.73956e-008	 2.25763e-007
     0.191372	-6.43704e-007	 2.24590e-007
     0.191943	-2.41998e-007	 2.24952e-007
     0.192514	-2.90020e-008	 2.24862e-007
     0.193085	-2.54899e-007	 2.24235e-007
     0.193656	-5.92605e-007	 2.23387e-007
     0.194227	-2.09402e-007	 2.23719e-007
     0.194797	-2.16700e-007	 2.23433e-007
     0.195368	-1.79301e-007	 2.23087e-007
     0.195939	-1.32401e-007	 2.23216e-007
     0.196510	-4.01997e-008	 2.22811e-007
     0.197081	 8.69986e-008	 2.22715e-007
     0.197651	 3.54048e-008	 2.22498e-007
     0.198222	 4.09804e-007	 2.22712e-007
     0.198793	 3.71794e-007	 2.22465e-007
     0.199364	 1.66699e-007	 2.21810e-007
     0.199935	 3.07991e-008	 2.21143e-007
     0.200505	 1.37952e-008	 2.22889e-007
     0.201076	-8.82064e-008	 2.25544e-007
     0.201647	-2.82504e-007	 2.27084e-007
     0.202218	-2.79695e-007	 2.28505e-007
     0.202788	-4.14402e-007	 2.29043e-007
     0.203359	-4.61696e-007	 2.29766e-007
     0.203930	-2.61498e-007	 2.31009e-007
     0.204501	-1.72397e-007	 2.31899e-007
     0.205071	-2.19952e-008	 2.32211e-007
     0.205642	-1.46596e-007	 2.32218e-007
     0.206213	 5.96046e-008	 2.32898e-007
     0.206784	 1.34700e-007	 2.33188e-007
     0.207354	-8.87958e-008	 2.32684e-007
     0.207925	-3.09956e-009	 2.33139e-007
     0.208496	 1.96997e-007	 2.33550e-007
     0.209067	 1.14698e-007	 2.36216e-007
     0.209637	 1.45497e-007	 2.40032e-007
     0.210208	-1.02009e-008	 2.42254e-007
     0.210779	-5.91026e-008	 2.44406e-007
     0.211349	 1.40099e-007	 2.46141e-007
     0.211920	 1.14014e-008	 2.47236e-007
     0.212491	-4.42298e-007	 2.47815e-007
     0.213061	-5.77398e-007	 2.49030e-007
     0.213632	-4.20798e-007	 2.50593e-007
     0.214203	 3.81988e-008	 2.52544e-007
     0.214773	-1.24055e-008	 2.53569e-007
     0.215344	 2.99988e-008	 2.54747e-007
     0.215915	-1.26900e-007	 2.55479e-007
     0.216485	 1.68795e-007	 2.57551e-007
     0.217056	 3.55700e-007	 2.58255e-007
     0.217627	 1.43104e-007	 2.53991e-007
     0.218197	 1.78203e-007	 2.50380e-007
     0.218768	 7.67977e-008	 2.48647e-007
     0.219339	-8.85047e-008	 2.47247e-007
     0.219909	 1.96014e-008	 2.46533e-007
     0.220480	 2.47019e-008	 2.45864e-007
     0.221051	 2.13600e-007	 2.45482e-007
     0.221621	 3.30503e-007	 2.44908e-007
     0.222192	-2.09497e-007	 2.43509e-007
     0.222762	-1.82401e-007	 2.43038e-007
     0.223333	 8.10978e-008	 2.43090e-007
     0.223904	-1.98605e-007	 2.42200e-007
     0.224474	-4.99902e-007	 2.40950e-007
     0.225045	-6.10700e-007	 2.40122e-007
     0.225615	-4.86601e-007	 2.39759e-007
     0.226186	-2.35894e-007	 2.40458e-007
     0.226757	 1.18300e-007	 2.40476e-007
     0.227327	 1.14502e-007	 2.40010e-007
     0.227898	-4.03197e-007	 2.38861e-007
     0.228468	-3.96096e-007	 2.38510e-007
     0.229039	-3.89802e-007	 2.38025e-007
     0.229609	-3.19400e-007	 2.37935e-007
     0.230180	-1.24899e-007	 2.37853e-007
     0.230751	-1.10958e-008	 2.38078e-007
     0.231321	-8.15999e-008	 2.37587e-007
     0.231892	-1.31404e-007	 2.37266e-007
     0.232462	-2.89103e-007	 2.37014e-007
     0.233033	-3.77397e-007	 2.37000e-007
     0.233603	-2.09795e-007	 2.37190e-007
     0.234174	-3.04601e-007	 2.36949e-007
     0.234744	-4.51699e-007	 2.36686e-007
     0.235315	-1.57204e-007	 2.36824e-007
     0.235885	-4.46300e-007	 2.36079e-007
     0.236456	-5.47603e-007	 2.35633e-007
     0.237026	-1.34205e-007	 2.36003e-007
     0.237597	 3.39598e-007	 2.36924e-007
     0.238167	 1.89029e-008	 2.36242e-007
     0.238738	 2.16503e-007	 2.36318e-007
     0.239308	 4.48599e-007	 2.36581e-007
     0.239879	 3.99203e-007	 2.36093e-007
     0.240449	-1.65099e-007	 2.35119e-007
     0.241020	-3.29193e-007	 2.34650e-007
     0.241590	 5.53991e-008	 2.35220e-007
     0.242161	-1.55000e-007	 2.34527e-007
     0.242731	-1.17499e-007	 2.34457e-007
     0.243301	 6.86050e-008	 2.34470e-007
     0.243872	 3.81900e-007	 2.34905e-007
     0.244442	 2.35101e-007	 2.34774e-007
     0.245013	 2.32103e-007	 2.34439e-007
     0.245583	 1.43700e-007	 2.34024e-007
     0.246154	-1.03202e-007	 2.33344e-007
     0.246724	-8.50559e-009	 2.33425e-007
     0.247294	-8.17963e-008	 2.33172e-007
     0.247865	 2.79033e-008	 2.33195e-007
     0.248435	-2.04906e-007	 2.32485e-007
     0.249006	 8.79954e-008	 2.33092e-007
     0.249576	 3.07002e-007	 2.33312e-007
     0.250146	 4.41105e-007	 2.33268e-007
     0.250717	 3.20601e-007	 2.32914e-007
     0.251287	 1.92202e-007	 2.32659e-007
     0.251858	 1.45097e-007	 2.32262e-007
     0.252428	-6.49015e-008	 2.31804e-007
     0.252998	-4.44903e-007	 2.31125e-007
     0.253569	-6.80004e-007	 2.30610e-007
     0.254139	-5.12802e-007	 2.30828e-007
     0.254709	-7.94971e-008	 2.31259e-007
     0.255280	-1.51595e-007	 2.31035e-007
     0.255850	-7.16100e-007	 2.29899e-007
     0.256420	-5.76299e-007	 2.29998e-007
     0.256991	-3.04695e-007	 2.30282e-007
     0.257561	-7.57900e-007	 2.29426e-007
     0.258131	-6.79800e-007	 2.29399e-007
     0.258702	-4.24203e-007	 2.29740e-007
     0.259272	-6.83067e-008	 2.30156e-007
     0.259842	-3.64598e-007	 2.29393e-007
     0.260413	-5.79203e-007	 2.28677e-007
     0.260983	-3.76698e-007	 2.29036e-007
     0.261553	-8.79954e-008	 2.29349e-007
     0.262123	 1.27300e-007	 2.29668e-007
     0.262694	-5.64978e-008	 2.29143e-007
     0.263264	-1.46400e-007	 2.28702e-007
     0.263834	-6.15597e-007	 2.27957e-007
     0.264405	-5.19904e-007	 2.27897e-007
     0.264975	-8.80027e-008	 2.28599e-007
     0.265545	-8.26039e-008	 2.28326e-007
     0.266115	-1.37901e-007	 2.28054e-007
     0.266686	 8.26985e-008	 2.28360e-007
     0.267256	 5.79021e-008	 2.28142e-007
     0.267826	 4.39999e-007	 2.28368e-007
     0.268396	 4.74603e-007	 2.28305e-007
     0.268966	 1.07299e-007	 2.27445e-007
     0.269537	 9.50240e-009	 2.27369e-007
     0.270107	 1.08099e-007	 2.27153e-007
     0.270677	-1.45301e-007	 2.26686e-007
     0.271247	-2.80997e-007	 2.26322e-007
     0.271817	-4.06399e-007	 2.26144e-007
     0.272388	-2.65005e-007	 2.26140e-007
     0.272958	-4.39468e-009	 2.26446e-007
     0.273528	-1.50030e-008	 2.26283e-007
     0.274098	-4.75899e-007	 2.25452e-007
     0.274668	-2.19501e-007	 2.25495e-007
     0.275238	 3.12997e-007	 2.26185e-007
     0.275809	 1.96800e-007	 2.26020e-007
     0.276379	-9.94987e-008	 2.25368e-007
     0.276949	-3.60000e-007	 2.24844e-007
     0.277519	-3.85298e-007	 2.24567e-007
     0.278089	-4.79602e-007	 2.24502e-007
     0.278659	-2.10697e-007	 2.24764e-007
     0.279229	 1.75001e-007	 2.25118e-007
     0.279800	 9.28994e-008	 2.24821e-007
     0.280370	-3.05954e-008	 2.24533e-007
     0.280940	-9.51040e-008	 2.24217e-007
     0.281510	-1.42500e-007	 2.24136e-007
     0.282080	-1.33696e-007	 2.24148e-007
     0.282650	-9.12987e-008	 2.23785e-007
     0.283220	 1.20701e-007	 2.24087e-007
     0.283790	-1.76005e-008	 2.23681e-007
     0.284360	-3.54994e-008	 2.23585e-007
     0.284930	 7.00966e-008	 2.23562e-007
     0.285500	 6.15983e-008	 2.23435e-007
     0.286070	 1.63105e-007	 2.23646e-007
     0.286641	 3.81202e-007	 2.23582e-007
     0.287211	 2.36701e-007	 2.23559e-007
     0.287781	 1.22003e-007	 2.23009e-007
     0.288351	-5.18798e-007	 2.21976e-007
     0.288921	-3.47703e-007	 2.22134e-007
     0.289491	-9.53005e-008	 2.22199e-007
     0.290061	 1.49885e-009	 2.22574e-007
     0.290631	-4.06944e-008	 2.22204e-007
     0.291201	 3.11993e-008	 2.22013e-007
     0.291771	-1.36803e-007	 2.21464e-007
     0.292341	-1.73000e-007	 2.20916e-007
     0.292911	-3.32999e-007	 2.20557e-007
     0.293481	-5.49604e-007	 2.19713e-007
     0.294051	-4.23002e-007	 2.19674e-007
     0.294621	-3.43098e-007	 2.19557e-007
     0.295191	-1.32604e-007	 2.19443e-007
     0.295761	-2.02897e-007	 2.19161e-007
     0.296330	-4.12801e-007	 2.18817e-007
     0.296900	-4.88202e-007	 2.18458e-007
     0.297470	-3.39300e-007	 2.18652e-007
     0.298040	-2.58202e-007	 2.18535e-007
     0.298610	-1.34700e-007	 2.18584e-007
     0.299180	 9.06948e-008	 2.18775e-007
     0.299750	 4.03015e-008	 2.18635e-007
     0.300320	 2.84999e-008	 2.18471e-007
     0.300890	 1.25699e-007	 2.18614e-007
     0.301460	 8.10542e-009	 2.18297e-007
     0.302030	 4.44052e-008	 2.18134e-007
     0.302600	-7.28032e-008	 2.17825e-007
     0.303169	-4.55984e-008	 2.17719e-007
     0.303739	-1.76798e-007	 2.17398e-007
     0.304309	-4.04980e-008	 2.17539e-007
     0.304879	-1.01601e-007	 2.17149e-007
     0.305449	-1.37901e-007	 2.17172e-007
     0.306019	 3.98199e-007	 2.17816e-007
     0.306589	 3.41599e-007	 2.17777e-007
     0.307158	-7.91042e-008	 2.16769e-007
     0.307728	-2.41504e-007	 2.16528e-007
     0.308298	-9.58971e-008	 2.16760e-007
     0.308868	-3.35000e-007	 2.15993e-007
     0.309438	-2.52199e-007	 2.16223e-007
     0.310008	 1.06695e-007	 2.16398e-007
     0.310577	 2.35996e-007	 2.16724e-007
     0.311147	 9.81963e-008	 2.16142e-007
     0.311717	-9.89530e-009	 2.15821e-007
     0.312287	-6.67598e-007	 2.14850e-007
     0.312856	-2.86702e-007	 2.15130e-007
     0.313426	 3.60160e-009	 2.15806e-007
     0.313996	-2.56703e-007	 2.15005e-007
     0.314566	-3.19094e-007	 2.14716e-007
     0.315136	-1.84300e-007	 2.14968e-007
     0.315705	 1.50205e-007	 2.15076e-007
     0.316275	 1.43300e-007	 2.15308e-007
     0.316845	 6.07979e-008	 2.14751e-007
     0.317414	-2.00962e-008	 2.14675e-007
     0.317984	 3.68404e-007	 2.15147e-007
     0.318554	 9.75997e-008	 2.14273e-007
     0.319124	-1.28603e-007	 2.14088e-007
     0.319693	 1.54003e-007	 2.14073e-007
     0.320263	 1.11402e-007	 2.14315e-007
     0.320833	-3.02971e-008	 2.13684e-007
     0.321402	-2.04403e-007	 2.13221e-007
     0.321972	-2.34504e-007	 2.13270e-007
     0.322542	 1.70257e-009	 2.13353e-007
     0.323111	-3.46503e-007	 2.12890e-007
     0.323681	-6.03402e-007	 2.12121e-007
